Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,5.0778,4.998210526315789,3.667212765957447,3.5607735849056605,2.7416617647058823,2.6896666666666667,2.3995571428571427,2.222378947368421,2.249826530612245,1.949234693877551,1.8335,1.7594891304347826,1.7225555555555556,1.5875222222222225,1.4435232558139537,1.4175375,1.5173048780487806,1.2989285714285714,1.14245,1.265548780487805,1.212318181818182,1.1345277777777776,0.9933859649122808,0.7040689655172414,0.5885542168674699,0.7132738095238095,0.61084,0.6573589743589744,0.4947307692307692,0.5501728395061728,0.5399259259259259,0.4398888888888889
Belgium,0.0,0.0,0.0,0.0,2.3823333333333334,2.66525,2.5660000000000003,4.2165,1.9863,1.6779285714285714,1.7106666666666666,1.993,1.2548076923076923,1.59665625,1.402205882352941,1.3283030303030303,0.1107333333333333,0.0143571428571428,1.1580555555555554,0.9280789473684212,0.774,0.852047619047619,0.758159090909091,0.5235166666666667,0.4415087719298246,0.4447017543859649,0.5186666666666666,0.4698888888888888,0.4672592592592592,0.4402280701754386,0.3921333333333333,0.4315
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000125,3.4934,5.977125,4.16875,0.0,5.43675,5.629666666666666,3.9258888888888888,4.472058823529412,3.9521,3.25585,3.30140625,3.4125,3.259558823529412,2.990676470588236,1.7358958333333332,1.5892291666666667,1.6497272727272725,0.9633636363636364,1.617392156862745,1.4405925925925926,1.2556274509803922,1.0779347826086956,0.8522291666666666
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531875,0.0,1.7743125,1.6100714285714286,1.7076666666666669,1.172375,1.565875,0.0,0.0,1.1194166666666667,1.19875,1.0265833333333332,0.8669166666666667,0.6932499999999999,0.8105833333333333,0.4939
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.694,3.3095,2.7315,2.864,2.3680000000000003,1.8315,1.9255,2.287,1.9315,1.9915,1.013,0.7856666666666667,0.6641666666666667,0.8891666666666667,0.9576666666666668,0.6007777777777777,0.5832222222222223,0.5961111111111111,0.627
Czechia,0.0,0.0,0.0,1.772,2.2330384615384613,2.009772727272728,2.1529,2.192214285714286,1.8393,1.4908076923076925,1.461096153846154,1.4302307692307692,1.534888888888889,1.6171666666666666,1.6109,1.4526875,1.6204166666666666,1.2581290322580645,1.2918333333333332,1.37346,1.335925925925926,1.2302962962962964,1.1766326530612246,0.7193333333333333,0.7429333333333333,134.74575555555555,0.5768541666666667,0.1490833333333333,0.5388461538461539,0.6507555555555555,0.7132380952380952,0.8781282051282051
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.6333333333334,2.6002500000000004,2.345,2.2015,2.243875,1.8804166666666668,1.94725,1.5645,1.4369285714285716,1.1389285714285715,1.1842142857142857,1.1229,0.8386666666666667,0.98375,0.7271666666666667,0.7843333333333332,0.4996666666666666,0.4188666666666666,0.3005,0.4351666666666666,0.3667333333333333,0.3736,0.3403333333333334,0.3508888888888888,0.2714
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6455,2.4405,0.629,0.531,1.2925,1.440375,1.0759,0.8276249999999999,0.970625,1.0778,0.859,0.6910000000000001,0.7352857142857143,0.8532142857142857,0.7979285714285714,0.8212142857142857,0.6057142857142858,0.5320476190476191,0.482,0.4116190476190476,0.4135238095238095,0.3285238095238095,0.3322857142857143,0.3078,0.2809999999999999
Finland,6.7155,2.88175,2.777,3.3713333333333337,3.2065,3.74875,2.611875,2.77975,2.405333333333333,2.25975,1.7060000000000002,1.5625,1.325,1.7241666666666664,1.73155,1.3530714285714285,1.1048571428571428,1.1183571428571428,0.7618571428571429,1.164,1.1505,0.8378,0.918125,0.4637777777777778,0.4114444444444445,0.473,0.1326666666666666,0.1443333333333333,0.131,0.133,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97692,2.567629139072848,2.341422360248447,2.363526627218935,2.002741935483871,1.776456043956044,1.5016058823529412,1.516377245508982,1.4837898089171977,1.1949256756756756,1.218344,1.0012434782608697,1.0229333333333337,0.8944868421052631,0.5953103448275863,0.4938461538461539,0.33644,0.6322666666666666,0.5934814814814815,0.5128070175438597,0.543125,0.5615416666666667,0.4538484848484848
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8659199288256227,1.5036949152542372,1.4808812056737588,1.52381589958159,1.5073661327231125,1.345886699507389,1.1683722084367243,1.398993710691824,1.246079268292683,1.1464384615384615,1.342504132231405,1.0813879310344827,1.0396266666666667,0.9479285714285716,0.6453120567375887,0.5476379928315412,0.606719298245614,0.6056456140350878,0.5781050724637681,0.4775977011494252,3.324053639846744,0.4455137254901961,1.4249098039215686
Greece,13.91875,13.4325,18.51775,11.104,9.763666666666667,8.130333333333333,0.0,7.68325,0.0,5.3886,5.127875,4.401538461538461,3.3802857142857143,3.577035714285714,3.8893125,3.720375,3.199055555555556,2.7163636363636368,2.6000384615384613,2.9515,2.7463333333333337,2.6252142857142857,3.0124761904761903,1.816230769230769,1.8201944444444444,2.0764285714285715,1.7219,1.6304583333333331,1.5694444444444444,1.2157916666666666,1.4170555555555555,1.2567222222222223
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1033333333333335,0.0,1.9885,2.173,1.967,2.183,2.100714285714285,1.924636363636364,1.81959375,1.625525,1.419842105263158,1.4138571428571427,1.533675,1.6942564102564102,1.749578947368421,1.6147380952380952,0.9953148148148148,1.0001111111111112,1.092301587301587,0.9945901639344262,1.0896140350877193,0.9235238095238096,0.9357407407407408,0.0,694.2557368421052
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.356,0.0,0.0,0.0,3.263,0.0,1.8955,1.59,1.594,1.436,0.0,0.8135,1.1115,1.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,2.67975,2.144,0.0,7.529999999999999,1.8555,1.2355625,1.4173333333333331,2.613,1.682875,2.2028333333333334,1.532625,1.482,1.135625,0.90725,1.6044999999999998,1.6471666666666664,1.374666666666667,0.9082,0.6272222222222221,0.73175,0.5413333333333333,0.9313333333333332,0.4072222222222222
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.8297969924813,4.7459537572254336,4.032563025210084,3.713958115183246,3.6540961538461536,3.3008240740740744,2.615804532577904,3.2504854586129754,2.3582024291497974,2.359360681114551,1.8861171548117155,1.7510176470588237,1.5696613672496025,1.5249716024340771,1.967871848739496,1.114419664268585,0.9351228070175438,0.9599728752260398,0.927020304568528,0.9252112211221122,0.9202718894009216,0.7956265625000001,0.7952155887230514,1.1641482558139535
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6955,4.950333333333333,4.594333333333333,0.0,0.0,0.0,1.807642857142857,2.2618125,2.136071428571429,1.534125,1.4205625,0.9388125,0.9960555555555556,1.6685714285714286,2.3555,1.4400555555555554,0.9127037037037036,0.6631481481481482,0.8881851851851853,1.3362962962962963,0.901875,0.838037037037037,0.7022962962962963,0.6074814814814815,0.7327037037037037
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28475,1.306,1.2888333333333333,1.3936666666666666,1.2121666666666666,1.1326666666666665,0.6276666666666666,0.8076666666666666,0.6985,0.433,0.3725,0.4546666666666666,0.6433333333333333,0.419,0.3857777777777778,0.3792222222222222,0.3618888888888889,0.3425555555555555
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0435,0.7104999999999999,1.94525,0.0,0.634,0.2435,0.9691666666666666,0.3533333333333333,0.4359999999999999,0.2108333333333333,0.6721666666666666,0.319,0.51,0.4895,0.4576666666666666,0.405,0.5868333333333333
Netherlands,2.6846153846153844,2.893846153846153,3.238375,3.684,3.620625,2.8192500000000003,2.4129375,2.851547619047619,2.3256666666666668,1.851,1.7790238095238091,2.0960476190476194,1.6032000000000002,1.46428125,1.56275,1.1720526315789477,1.47325,1.1774761904761906,1.259452380952381,0.9595,1.0104761904761903,1.160625,1.00834375,0.5672888888888888,0.5172051282051282,0.5169999999999999,0.6164166666666667,0.5626296296296297,0.5534074074074075,0.5691666666666667,0.5431111111111111,0.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.170999999999999,2.82375,1.825,2.439375,1.66775,1.4009,1.8053333333333328,1.736,0.8210000000000001,1.38675,0.8856666666666667,0.298,0.6233333333333333,0.9443333333333334,0.8183333333333332,0.4606666666666666,0.0,0.348,0.65
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1805,4.61525,3.981,2.86821875,2.2618260869565217,2.6951538461538465,2.4251,2.01845,1.839434210526316,2.7135,1.7703535353535351,1.729862385321101,1.9811652892561984,2.0463671875,1.9878796296296293,1.893613636363636,0.8207899543378995,1.0674863636363636,1.0684017094017093,1.0036582278481012,1.2076536796536796,0.9604594594594597,0.8510730593607305,0.822764705882353,0.8194051282051281
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315909090909091,4.169423076923077,3.93078125,3.739892857142857,2.0135,1.7854423076923078,1.6394516129032255,1.5197464788732395,1.5394567901234568,1.4474756097560977,1.262722891566265,1.239253333333333,1.0403658536585365,0.9768421052631578,0.9518955223880596,0.9807142857142858,0.5776923076923077,0.5307777777777778,562.2493125,88.7206511627907,0.5068648648648648,0.6139,0.6726470588235295,0.6987948717948718,0.5566666666666666
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95057142857142,4.694636363636364,3.1462105263157896,2.6813333333333333,1.8376969696969696,1.802423076923077,1.7433057324840766,1.7551260504201682,1.6716762589928058,1.081987012987013,1.0166981132075472,1.0009930069930069,0.9827906976744186,1.0574852459016395,0.9896100278551532,0.9796376811594204,0.8870158730158731,0.0
Slovakia,0.0,0.0,0.0,0.0,0.0,3.54575,3.049,2.856,2.984833333333333,2.4053,2.41275,1.945625,2.0687,1.989,2.0318,1.7048636363636362,1.6582272727272729,1.45625,1.6078181818181818,1.761625,1.934875,1.7874444444444444,2.000153846153846,0.937,1144.552703703704,270.1668,0.6929487179487179,0.8778333333333334,0.6778974358974359,0.6982820512820513,9.2935,636.8124358974359
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239428571428572,2.4132857142857143,2.078875,2.046875,1.6532,1.4042,1.3166,1.4293,1.4632,1.166,1.3185,0.8926666666666668,0.6324166666666667,0.7215833333333332,0.8863333333333333,0.8451666666666666,0.6708333333333334,0.649,0.8614999999999999,0.0
Spain,14.1965,6.504285714285714,6.330625,6.047785714285714,0.0,1.8893,4.2761538461538455,3.591183823529412,3.830857142857143,21.96654658385093,20.18479545454545,2.231337398373984,1.829435555555556,1.7019771863117872,1.5374809160305345,1.469228494623656,1.2263323699421964,1.1450546875,1.0400348258706469,0.8876188235294118,0.8290354767184035,0.7702100656455142,0.7413977011494253,0.5043178170144462,0.4579649122807017,0.5131963087248322,0.52796,0.5717746212121212,0.4999474708171206,0.5077047619047619,0.4382110266159695,0.557852207293666
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.223666666666667,2.1525,3.258857142857143,3.71975,2.051333333333333,3.309125,3.1194,1.4901666666666669,1.42525,1.12775,1.925,0.8458333333333333,2.14,2.651666666666667,1.259125,0.3423333333333334,0.95725,0.9309444444444446,1.1853749999999998,1.2308333333333332,1.066625,1.0322916666666666,1.639133333333333,1.6763333333333332
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103,1.893375,1.80879797979798,1.7169354838709678,1.577135416666667,1.4056377952755903,0.0
